"Actions","Actions"
"Are you sure?","Êtes-vous sûr ?"
"Date Added","Date d'ajout"
"Error while marking as read. Please try again later.","Erreur lors du marquage. Veuillez réessayer plus tard."
"Error while marking. Please try again later.","Erreur lors du marquage. Veuillez réessayer plus tard."
"Error while removing. Please try again later.","Erreur lors de la suppression. Veuillez réessayer plus tard."
"Last update","Dernière mise à jour"
"Mark as Read","Marquer comme lu"
"Mark as read","Marquer comme lu"
"Message","Message"
"Message was successfully marked as read","Le message a bien été marqué comme lu"
"Message was successfully removed","Le message a bien été supprimé"
"Messages Inbox","Boîte de réception"
"Notifications","Notifications"
"Please select messages","Veuillez sélectionner les messages"
"Read Details","Lire le détail"
"Remove","Supprimer"
"Severity","Sévérité"
"Show List","Montrer la liste"
"Show Toolbar","Montrer la bar d'outils"
"Total of %d record(s) were successfully marked as read","%d enregistrement(s) ont été marqués comme lus"
"Total of %d record(s) were successfully removed","%d enregistrement(s) ont été supprimés"
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement"
"� jour frequency","Fréquence de mise à jour"
"Use HTTPS to get feed","Utiliser le HTTPS pour récupérer le flux"
"critical","critique"
"major","majeure"
"minor","mineure"
"notice","annonce"
