"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(Copy data from: %s)","(Copier les données depuis : %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la requête ci-dessus. Retourne des résultats pour cette recherche)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Votre choix --"
"A name is required","Un nom est requis"
"ALL GROUPS","TOUS LES GROUPES"
"AM","AM"
"Action","Action"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement d'habillage"
"Add Group","Ajouter un groupe"
"Add Items to Cart","Ajouter les articles au panier"
"Add New","Ajouter"
"Add New Attribute","Nouvel attribut"
"Add New Attribute Set","Nouveau groupe d'attributs"
"Add New Group","Nouveau groupe"
"Add New Images","Nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un nouveau groupe"
"Add Option","Ajouter une option"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Panier"
"Add to Compare","Ajouter comparer"
"Add to My Wishlist","Ajouter à ma liste d'envies"
"Add to Wishlist","Ajouter  mes"
"Additional Information","Informations complémentaires"
"All","Tous"
"All Product Types","Tous les types de produit"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de ce jeu seront supprimés ! Êtes-vous sûr de vouloir supprimer ce jeu d'attributs ?"
"Allow HTML-tags on Front-end","Autoriser les tags HTML dans le frontend"
"Allowed File Extensions","Extensions de fichier autorisées"
"Allowed file extensions to upload","Extensions de fichier autorisées pour l'envoi"
"Amount","Montant"
"Apply To","S'applique à"
"Apply To Configurable/Grouped Product","Appliquer à un produit configurable/groupé"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous sûr de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove all products from your comparison?","Êtes-vous sûr de vouloir enlever tous les produits de la comparaison ?"
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr de vouloir enlever cet article de la comparaison ?"
"Are you sure?","En êtes-vous sûr ?"
"As low as:","Prix spécial :"
"Assign","Assigner"
"Assign product link","Assigner un lien de produit"
"Assign product to category","Assigner un produit à une catégorie"
"Assigned Products","Produits assignés"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du groupe d'attributs"
"Attribute Code","Code attribut"
"Attribute Information","Informations attributs"
"Attribute Label","Libellé attribut"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut :"
"Attribute Properties","Propriétés de l'attribut"
"Attribute Set","Groupe d'attributs"
"Attribute group with the ""/name/"" name already exists","Il existe déjà un groupe d'attributs portant le nom ""/name/"""
"Attribute model not defined","Modèle d'attribut non défini "
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Attrribute names can be specified per store.","Les noms d'attributs peuvent être spécifiés pour chaque magasin."
"Autogenerate","Générer automatiquement"
"Availability","Disponibilité"
"Availability: In stock.","Disponibilité : en stock."
"Availability: Out of stock.","Disponibilité : épuisé."
"Back","Retour"
"Backend Model","Modèle pour le back office"
"Backend Table","Table de back office"
"Backend Table Title","Titre de table de back office"
"Backorders","Commande en rupture de stock"
"Base directory to upload image file is not specified","Le répertoire de base pour télécharger les images n'est pas spécifié"
"Based On","Basé sur"
"Best Value","Meilleure affaire"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Filtrer par"
"Buy %1$s for %2$s","Achetez-en %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Achetez-en %1$s à %2$s (%3$s TTC) pièce"
"Buy %1$s for %2$s each","Achetez-en %1$s à %2$s pièce"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Can't create image.","Impossible de créer l'image"
"Cannot create writeable directory '%s'","Impossible de créer de dossier inscriptible '%s'"
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Section","Section catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category API","API de catégorie"
"Category Data","Données de catégorie"
"Category Navigation:","Navigation dans la catégorie :"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Navigation dans les catégories"
"Category URL Suffix","Suffixe d'URL des catégories"
"Category attributes API","API d'attributs de catégories"
"Category delete error","Erreur de suppression de catégorie"
"Category deleted","Catégorie supprimée"
"Category move error","Erreur de déplacement de catégorie"
"Category must be instance of Mage_Catalog_Model_Category","La catégorie doit être une instance de Mage_Catalog_Model_Category"
"Category saved","Catégorie sauvegardée"
"Change","Modifier"
"Change or Retrieve attribute store view","Changer ou récupérer la vue magasin de l'attribut"
"Change status","Modifier le statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Choose option...","Choisissez une option..."
"Clear All","Tout supprimer"
"Clear All Items","Tout supprimer"
"Close Window","Fermer la fenêtre"
"Collapse All","Tous réduire"
"Comparable","Comparable"
"Comparable on Front-end","Comparable sur le front-office"
"Compare Items","Comparer les articles"
"Compare Products","Comparer des produits"
"Compare Products (%d)","Comparer les produits (%d)"
"Compare Products - %d Items","Comparer les produits <span class=""count"">- %d articles</span>"
"Compare Products List","Comparer la liste des produits"
"Compare list successfully cleared","La liste de comparaison a bien été effacée"
"Conditions Combination","Combinaison de conditions "
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Pays / État"
"Create","Créer"
"Create (Upload)","Créer (télécharger)"
"Create Empty","Créer vide"
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Create new category","Créer une catégorie"
"Create new product","Créer un produit"
"Cross-sells","Ventes croisées"
"Currently Shopping by","Votre sélection :"
"Custom Design","Habillage personnalisé"
"Custom Options","Options personnalisables"
"Customer Group","Groupe de clients"
"Customers Reviews","Clients ayant commenté"
"Customers Tagged Product","Clients ayant taggé ce produit"
"Customers for alert %s was successfuly added to queue","Les clients ont bien été ajoutés à la file de l'alerte %s."
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Date","Date"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Date Subscribed","Date d'abonnement"
"Date fields order","Ordre de champs de date"
"Datetime","Date et heure"
"Decimal","Décimal"
"Decimal Number","Nombre décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Default price","Prix par défaut"
"Default value","Valeur par défaut"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Category","Supprimer cette catégorie"
"Delete Option","Supprimer l'option"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete category","Supprimer la catégorie"
"Delete product","Supprimer le produit"
"Depends on design theme","Dépendant du thème d'habillage"
"Design","Habillage"
"Disabled","Désactivé"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Double click on above image to view full picture","Double-cliquez sur l'image ci-dessus pour la voir en entier"
"Dropdown","Liste déroulante"
"Duplicate","Dupliquer"
"Duplicate website tier price customer group and quantity.","Le prix par palier pour ce site web, ce groupe client et cette quantité existe déjà."
"Duplicate website, country and state tax found.","Une taxe pour ce site web, ce pays et cet état existe déjà."
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Email","Email"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Error while adding customers for %s alert. Message: %s","Erreur lors de l'ajout de clients pour l'alerte %s. Message: %s"
"Error while saving this group. Group with the same name already exists.","Erreur pendant la sauvegarde de ce groupe. Un groupe avec le même nom existe déjà."
"Error while saving this group. Please try again later.","Erreur pendant la sauvegarde de ce groupe. Veuillez réessayer ultérieurement."
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"File options format is not valid","Le format des options de fichier n'est pas valide"
"File upload failed","L'envoi de fichier a échoué"
"Filter model name must be declared","Le nom du modèle de filtre doit être déclaré"
