"(eg: domain.com/identifier)","(ex : domaine.com/identifiant)"
"Action","Action"
"Add New Block","Ajouter un nouveau bloc"
"Add New Page","Ajouter une nouvelle page"
"All countries","Tous les pays"
"Block Information","Informations bloc"
"Block Title","Titre bloc"
"Block was successfully deleted","Le bloc a bien été effacé"
"Block was successfully saved","Bloc sauvegardé avec succès"
"CMS","CMS"
"CMS Home Page","Page d'accueil CMS"
"CMS No Route Page","Page non trouvée CMS"
"Content","Contenu"
"Custom Design","Design personnalisé"
"Custom Theme","Thème personnalisé"
"Custom Theme From","Date de début du thème personnalisé"
"Custom Theme To","Date de fin du thème personnalisé"
"Customer Tax Class Information","Informations de classe de TVA client"
"Date Created","Date de création"
"Delete Block","Supprimer le bloc"
"Delete Page","Supprimer la page"
"Description","Description"
"Disabled","Désactivé"
"Edit Block","Éditer le bloc"
"Edit Block '%s'","Éditer le bloc '%s'"
"Edit Page","Éditer la page"
"Edit Page '%s'","Éditer la page '%s'"
"Enabled","Activé"
"General Information","Informations générales"
"Go to Home Page","Aller à la page d'accueil"
"Home","Accueil"
"Identifier","Identifiant"
"Keywords","Mots clés"
"Last Modified","Modifié le"
"Layout","Agencement"
"Layout � jour XML","XML de mise à jour d'agencement"
"Manage Pages","Gestion des pages"
"Meta Data","Données meta"
"Meta Description","Méta description"
"Meta Keywords","Mots-clés Meta"
"New Block","Nouveau bloc"
"New Page","Nouvelle page"
"Page Identifier cannot consist only of numbers.","L'identifiant de page ne peut pas être composé uniquement de chiffres."
"Page Identifier for specified store already exist.","L'identifiant de page existe déjà pour le magasin choisi."
"Page Information","Informations de la page"
"Page Status","Statut de la page"
"Page Title","Titre de page"
"Page was successfully deleted","Page supprimée avec succès"
"Page was successfully saved","La page a été sauvée avec succès"
"Poll Manager","Gestion des sondages"
"Product Tax Class Information","Information de la classe de TVA produit"
"SEF URL Identifier","Identifiant de réécriture d'URL"
"Save Block","Sauvegarder le bloc"
"Save Page","Sauvegarder la page"
"Show breadcrumbs for CMS pages","Afficher le fil d'Ariane pour les pages CMS"
"Static Blocks","Blocs statiques"
"Status","Statut"
"Store View","Vue magasin"
"Such a block identifier in selected store already exist.","L'identifiant de bloc existe déjà pour le magasin choisi."
"The page you are trying to save no longer exists","La page que vous êtes en train d'essayer de sauvegarder n'existe plus"
"This block no longer exists","Ce bloc n'existe plus"
"This page no longer exists","Cette page n'existe plus"
"Title","Titre"
"Unable to find a block to delete","Impossible de trouver un bloc à supprimer"
"Unable to find a page to delete","Impossible de trouver une page à effacer"
