"Account login","Identifiant du compte"
"Account password","Mot de passe du compte"
"Active","Actif"
"Add Attribute Mapping","Ajouter un mapping d'attribut"
"Add New Attribute","Ajouter un attribut"
"Add to Google Base","Ajouter à Google Base"
"Are you sure?","Êtes-vous sûr ?"
"Attribute","Attribut"
"Attribute Set","Jeu d'attributs"
"Attribute Set and Item Type","Jeu d'attributs et type d'article"
"Attributes","Attributs"
"Attributes Set","Jeu d'attributs"
"Attributes mapping","Mapping d'attributs"
"AuthSub","AuthSub"
"Available Products","Produits disponibles"
"British Pound Sterling","Livre sterling"
"Cannot update Google Base Item for Store '%s'","Impossible de mettre à jour l'article Google Base pour le magasin '%s'"
"Captcha confirmation error: %s","Erreur de confirmation de captcha : %s"
"Captcha confirmed successfully","Le captcha a bien été confirmé"
"Clicks","Clics"
"ClientLogin","IdentifantClient"
"Confirm","Confirmer"
"Current Mapping will be reloaded. Continue?","Le mapping en cours sera rechargé. Souhaitez-vous continuer ?"
"Custom attribute, no mapping","Attribut personnalisé, pas de mapping"
"Default Store (%s)","Magasin par défaut (%s)"
"Delete","Effacer"
"Delete Mapping","Effacer le mapping"
"Edit Item Type","Éditer le type d'article"
"Edit Item Type ""%s""","Éditer le type d'article ""%s"""
"Error: %s","Erreur : %s"
"Euro","Euro"
"Expires","Expire"
"Germany","Allemagne"
"Google Base","Google Base"
"Google Base Attribute","Attribut Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Type d'article Google Base"
"Google Base Item type","Type d'article Google Base"
"Google Base Items","Articles Google Base"
"Hide","Masquer"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modèle de produit invalide pour un article Google Base"
"Item Type was deleted","Le type d'article a été effacé"
"Item Types","Types d'article"
"Item model is not specified to delete Google Base entry","Le modèle d'article n'est pas spécifié pour effacer l'entrée Google Base"
"Item type was successfully saved","Le type d'article a bien été sauvegardé"
"Items","Articles"
"Manage Attribute Mapping","Gérer le mapping d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Items","Gérer les articles"
"New Item Type","Nouveau type d'article"
"No","Non"
"No items were deleted from Google Base","Aucun article n'a été effacé de Google Base"
"No items were published","Aucun article n'a été publié"
"No items were saved as Inactive items","Aucun article n'a été sauvegardé comme inactif"
"No products were added to Google Base","Aucun produit n'a été ajouté à Google Base"
"Object model is not specified to save Google Base entry","Le modèle objet n'est pas spécifié pour enregistrer l'entrée Google Base"
"Page views","Vues de page"
"Please, select Attribute Set and Google Item Type to load attributes","Veuillez sélectionner un jeu d'attributs et un type d'article Google pour charger les attributs"
"Product Name","Nom de produit"
"Publish","Publier"
"Published","Publié"
"Remove","Supprimer"
"Save Mapping","Sauvegarder le mapping"
"Synchronize","Synchroniser"
"Target Country","Pays cible"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Cette action mettra à jour les statistiques des articles et effacera les articles qui ne sont pas disponibles dans Google Base. Souhaitez-vous continuer ?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","%d articles ont été effacés. %d articles ont été mis à jour."
"Total of %d items(s) were successfully published","%d articles ont été publiés"
"Total of %d items(s) were successfully removed from Google Base","%d articles ont été supprimés de Google Base"
"Total of %d items(s) were successfully saved as Inactive items","%d articles ont été sauvegardés en tant qu'articles inactifs"
"Total of %d product(s) were successfully added to Google Base","%d articles ont été ajoutés à Google Base"
"US Dollar","Dollar US"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Impossible de se connecter à Google Base. Veuillez vérifier votre configuration."
"United Kingdom","Royaume Uni"
"United States","États-Unis"
"� jour Google Base item when product is updated","Mettre à jour l'article Google Base quand le produit est mis à jour"
"View Available Products","Voir les produits disponibles"
"View Item in Google Base","Voir l'article dans Google Base"
"Yes","Oui"
