"(Make sure you keep it in a safe place.)","(Assurez-vous de la garder dans un endroit sûr)"
"(Optional. Leave blank for no prefix)","(Facultatif, laisser vide si vous ne souhaitez pas de préfixe)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Chemin ajouté à la suite de l'URL de base pour accéder à votre console d'administration (par ex. admin, backend, control, etc.)."
"Admin Path","Chemin de l'administration"
"After successfull installation please click the button below.","Après une installation réussie, veuillez cliquer sur le bouton ci-dessous"
"All packages were installed successfully, click 'Ok' to continue with installation","Tous les packages ont bien été installés, cliquez sur 'OK' pour poursuivre l'installation"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Vous pouvez aussi essayer la méthode 'Téléchargements et mises à jour manuels'"
"Base URL","URL de base"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Avant de continuer vers votre magasin, veuillez noter votre clé de cryptage (Magento l'utilise pour crypter les mots de passe, les numéros de cartes de crédit, ...)"
"Check out our","Jetez un oeil à notre"
"Check this box only if it is not possible to automatically validate Base URL.","Cochez cette case uniquement s'il n'est pas possible de valider automatiquement l'URL de base."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Cochez cette case uniquement s'il n'est pas possible de valider automatiquement l'URL sécurisée, par exemple si une authentification HTTP est nécessaire."
"Choose this if you would like to test frontend and backend functionality.","Choisissez ceci si vous aimeriez tester la fonctionnalité frontend et backend."
"Configuration","Configuration"
"Confirm Password","Confirmer le mot de passe"
"Connection","Connexion"
"Continue","Poursuivre"
"Continue After Manual Download","Continuer après le téléchargement manuel"
"Continue Full Download / SVN Installation","Poursuivre téléchargement complet / installation SVN"
"Create Admin Account","Créer un compte administrateur"
"Currently this is the most stable state available for Magento packages.","Actuellement, c'est l'état le plus stable disponible pour les paquets Magento."
"Database","Base de données"
"Database Connection","Connexion à la base de données"
"Database Name","Nom de base de données"
"Database connection error","Erreur de connexion à la base de données"
"Database host","Serveur de base de données"
"Database server does not support InnoDB storage engine","Le serveur de base de données ne supporte pas le moteur de stockage InnoDB"
"Database server version does not match system requirements (required: %s, actual: %s)","La version du serveur de base de données ne correspond pas aux pré-requis système (requis : %s, actuel : %s)"
"Database user name","Nom d'utilisateur de la base de données"
"Database user password","Mot de passe utilisateur de base de données"
"Default Currency","Devise par défaut"
"Download","Télécharger"
"Download Magento Core Modules and � jours","Télécharger les modules de base Magento et les mises à jour"
"Downloading and installing Magento, please wait...","Téléchargement et installation de Magento en cours, veuillez patienter..."
"Email","Email"
"Email Address","Adresse email"
"Enable this option only if you have SSL available.","N'activez cette option que si vous avez le SSL"
"Encryption Key","Clé de cryptage"
"File system","Système de fichiers"
"First Name","Prénom"
"Full Download / SVN Installation","Téléchargement complet / l'installation SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Préparez-vous à vivre une expérience avancée de l'eCommerce Open-Source"
"Go to Backend","Aller vers le back office"
"Go to Frontend","Aller vers le front office"
"Having trouble installing Magento?","Vous rencontrez des problèmes pour installer Magento ?"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir Magento"
"Host","Serveur"
"I agree to the above terms and conditions","J'accepte les termes et conditions ci-dessus"
"If you are a developer and would like to have the latest public updates, choose this option.","Si vous êtes développeur et que vous aimeriez avoir les mises à jour publiques les plus récentes, sélectionnez cette option."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Si vous lancez PHP en CGI, vos processes peuvent tourner sous le même utilisateur que celui utilisé pour télécharger les fichiers Magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Si vous avez lancé l'assistant d'installation sur une ancienne installation Magento, suivez cette méthode."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Si vous ne souhaitez pas ou ne pouvez pas donner les droits d'écriture sur les répertoires Magento pour l'installation en mode web, vous pouvez utiliser l'exécutable PEAR situé à la racine de l'installation Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Si vous avez téléchargé complètement les paquets ou installé Magento via SVN, vous devez passer l'installation et la validation des paquets en cliquant sur le bouton suivant."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Si vous souhaitez gérer les paquets Magento à l'aide de l'interface web d'administration, vous devrez donner à l'utilisateur web les droits d'écriture sur tous les répertoires et fichiers Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Si votre serveur tourne sous MS Windows, vous ne devriez normalement rien modifier."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Sinon, vous devrez donner les droits en écriture sur tous les fichiers Magento pour l'utilisateur utilisé par le process du serveur web."
"Installation","Installation"
"Installation Guide","Guide d'installation"
"Last Name","Nom de famille"
"Locale","Profil local"
"Locale settings","Réglages de locale"
"Localization","Localisation"
"Login Information","Information de connexion"
"Magento","Magento"
"Magento Installation Wizard","Assistant d'installation Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento utilise cette clé pour crypter les mots de passe, numéros de cartes de crédit, etc. Si vous laissez vide ce champ, le système créera une clé automatiquement et vous l'affichera dans l'écran suivant."
"Manual Downloads and Upgrades","Téléchargements et mises à jours manuels"
"One from PHP Extensions ""%s"" must be loaded","Au mois une des extensions suivantes doit être chargée : ""%s"""
"PHP Extension ""%s"" must be loaded","Extension PHP ""%s"" doit être chargée"
"PHP Extension '%s' loaded","Extension PHP '%s' chargée"
"Package Management through the Web","Gestion des paquets via le web"
"Password","Mot de passe"
"Password Confirmation","Confirmation du mot de passe"
"Path ""%s"" must be writable","Le chemin ""%s"" doit être autorisé en écriture"
"Personal Information","Informations personnelles"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Vérifiez que <code>mod_rewrite</code> est activé dans votre configuration Apache."
"Please note that it is much less stable than beta.","Veuillez noter que ceci est beaucoup moins stable que la beta."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Remarque : Seuls UNIX, Linux et Mac OS sont supportés pour l'instant. Pour Windows, merci d'utiliser l'option '%s'"
"Please set all required settings before clicking Continue","Veuillez renseigner tous les réglages obligatoires avant de poursuivre"
"Preferred stability: %s","Stabilité privilégiée : %s"
"Proceed With Automatic Download (%s)","Procéder au téléchargement automatique (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Fournissez une URL de base complète pour la connexion SSL. Par exemple : %s"
"Report All Bugs","Signalez tous les bugs"
"Required Fields","Champs obligatoires"
"Run admin interface with SSL","Lancer l'interface d'administration en SSL"
"Run this in your shell from Magento root folder:","Lancer ceci dans votre shell depuis votre répertoire racine Magento :"
"Save session data in","Enregistrer les données de session dans"
"Save session files in","Enregistrer les fichiers de session dans"
"Secure Base URL","URL de base sécurisée"
"Session storage options","Options de stockage de session"
"Setting preferred state to: %s","État privilégié paramétré à : %s"
"Skip Base URL validation before next step","Ne pas procéder à la validation de l'URL de base avant l'étape suivante"
"Skip Secure URL validation before next step","Ne pas procéder à la validation de l'URL sécurisée avant l'étape suivante"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le préfixe de tables doit contenir uniquement des lettres (a-z), des chiffres (0-9) ou soulignés (_), et le premier caractère doit être une lettre."
"Tables Prefix","Préfixes des tables"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Problème lors de l'installation des paquets Magento. Veuillez consulter le fichier de log, corriger les erreurs et réessayer."
"This Url is invalid","Cette url est non valide"
"Time Zone","Fuseau horaire"
"Url ""%s"" is invalid","L'URL ""%s"" n'est pas valide"
"Url ""%s"" is not accessible","L'URL ""%s"" n'est pas accessible"
"Use Secure URLs (SSL)","Utiliser des URLs sécurisées (URL)"
"Use Web Server (Apache) Rewrites","Utiliser les réécriture d'URLs du serveur web (Apache)"
"User Name","Nom d'utilisateur"
"User Password","Mot de passe utilisateur"
"Username","Nom d'utilisateur"
"Web access options","Options d'accès web"
"Welcome to Magento's Installation Wizard","Bienvenue sur l'assistant d'installation de Magento"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Vous pouvez spécifier un port pour le serveur, par ex.: localhost:3307<br />Si vous n'utilisez pas la socket UNIX par défaut, vous pouvez la spécifier ici au lieu de l'hôte, par ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Vous pouvez activer cette option pour utiliser la fonctionnalité de réécritures du serveur web pour l'optimisation pour les moteurs de recherche"
"You're All Set","Vous avez terminé"
