"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Bird","Default Category","2","Yes","bird","Bird","","","Bird","Bird","Yes","Products only","","No","","","No layout updates",""
"Fish","Default Category","5","Yes","fish","Fish","","","Fish","Fish","Yes","Products only","","No","","","No layout updates",""
"Outdoor","Default Category","6","Yes","outdoor","Outdoor","","","Outdoor","Outdoor","Yes","Products only","","No","","","No layout updates",""
"Small Pet","Default Category","4","Yes","small-pet","Small Pet","","","Small Pet","Small Pet","Yes","Products only","","No","","","No layout updates",""
"Cat","Default Category","3","Yes","cat","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry\'s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, ","","","","","Yes","Products only","","No","","","No layout updates",""
"Dog","Default Category","1","Yes","dog","Dog","","Dog","Dog","Dog","Yes","Products only","","Yes","","","No layout updates",""
"Litter Boxes","Default Category/Cat","2","Yes","litter-boxes","Litter Boxes","","","Litter Boxes","Litter Boxes","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Toys","Default Category/Cat","1","Yes","toys","Toys","","","Toys","Toys","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Crate","Default Category/Dog","52","Yes","crate","Crate","","","Crate","Crate","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Containment System","Default Category/Dog","51","Yes","containment-system","Containment System","","","Containment System","Containment System","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Containment Systemss","Default Category/Dog","46","Yes","containment-systemss","Containment Systemss","","","Containment Systemss","Containment Systemss","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Remote Training","Default Category/Dog","45","Yes","remote-training","Remote Training","","","Remote Training","Remote Training","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Kennels","Default Category/Dog","44","Yes","kennels","Kennels","","","Kennels","Kennels","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
