Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Flea and Tick,Default Category/Dog,4,Yes,,Flea and Tick,,,Flea and Tick,Flea and Tick,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Toys,Default Category/Dog,5,Yes,,Toys,,,Toys,Toys,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Beds,Default Category/Dog,6,Yes,,Beds,,,Beds,Beds,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Houses,Default Category/Dog,7,Yes,,Houses,,,Houses,Houses,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Grooming,Default Category/Dog,8,Yes,,Grooming,,,Grooming,Grooming,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Collars and Leashes,Default Category/Dog,9,Yes,,Collars and Leashes,,,Collars and Leashes,Collars and Leashes,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Memorials,Default Category/Dog,10,Yes,,Memorials,,,Memorials,Memorials,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Feeding and Watering,Default Category/Dog,11,Yes,,Feeding and Watering,,,Feeding and Watering,Feeding and Watering,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Travel,Default Category/Dog,12,Yes,,Travel,,,Travel,Travel,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Toys,Default Category/Cat,13,Yes,,Toys,,,Toys,Toys,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Wellness,Default Category/Dog,14,Yes,,Wellness,,,Wellness,Wellness,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
House Breaking,Default Category/Dog,15,Yes,,House Breaking,,,House Breaking,House Breaking,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Litter Boxes,Default Category/Cat,16,Yes,,Litter Boxes,,,Litter Boxes,Litter Boxes,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
GPS Tracking,Default Category/Dog,17,Yes,,GPS Tracking,,,GPS Tracking,GPS Tracking,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Gates,Default Category/Dog,18,Yes,,Gates,,,Gates,Gates,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
Containment Systems,Default Category/Dog,19,Yes,,Containment Systems,,,Containment Systems,Containment Systems,Yes,Products only_AND_Static block only,,Yes,,,No layout updates,
